# System Parameters and Geometry:
# M_sun_g = 1.98847e+33
# year_s = 31557600.0
# m_H = 1.6735575e-24
# G_cgs = 6.6743e-08
# DAY = 86400.0
# G = 6.6743e-08
# M_ob = 9.942349999999999e+34
# M_ns = 2.783858e+33
# R_ns = 1000000.0
# a_cm = 13041911082434.162
# a = 13041911082434.162
# e = 0.462
# inclination_deg = 55.0
# R_star = 4340000000000.0
# Rsun = 70000000000.0
# omega_obs = 310.4
# Mdot_wind_msun_per_yr = 1e-05
# Mdot_wind_g_s = 6.301081197556215e+20
# beta = 1.75
# phase_def = 0.5
# wake_factor_density = 3.0
# wake_extension = 0.1
# streamlines_rg_fac = 10.0
# roch_lobe_limit = 0.7
# zeta_def = 0.5
# along_streamlines = 0
# dynamic_width = 1
# wake_phase_width = 0.2
# streamlines_lim_def = 25000000000000.0
# map_n_pix = 400
# N_points_to_find_intersections_with_orbit = 200
# GEOMETRY = 2
# src = GX 301−2
# mob = 50.0
# Porb_day = 41.47
# md_msunyr = 1e-5
# md_val = 1e-05
# Mdot_wind = 6.301081197556215e+20
# v_p = 55299030.66833218
# Msum = 6.821625694994001e+27
# R_star_cm = 4340000000000.0
# R_max_def = 130419110824341.62
# v_inf = 30500000.0
# N_steps_from_observer = 3912
# ------------------------------
# phase  Nh_cm2  Nh_normalized Nh_normalized1
0.000000  4.092236e+23  4.323419e-01  1.441140e-02
0.008065  4.355311e+23  4.601355e-01  1.533785e-02
0.016129  4.607009e+23  4.867273e-01  1.622424e-02
0.024194  4.846172e+23  5.119947e-01  1.706649e-02
0.032258  5.075059e+23  5.361764e-01  1.787255e-02
0.040323  5.298090e+23  5.597395e-01  1.865798e-02
0.048387  8.689061e+23  9.179933e-01  3.059978e-02
0.056452  1.113128e+24  1.176012e+00  3.920041e-02
0.064516  1.098382e+24  1.160432e+00  3.868108e-02
0.072581  6.223639e+23  6.575231e-01  2.191744e-02
0.080645  6.477062e+23  6.842971e-01  2.280990e-02
0.088710  6.739567e+23  7.120305e-01  2.373435e-02
0.096774  7.008491e+23  7.404422e-01  2.468141e-02
0.104839  7.279536e+23  7.690779e-01  2.563593e-02
0.112903  7.546775e+23  7.973115e-01  2.657705e-02
0.120968  7.802751e+23  8.243552e-01  2.747851e-02
0.129032  8.038723e+23  8.492855e-01  2.830952e-02
0.137097  8.245118e+23  8.710910e-01  2.903637e-02
0.145161  8.412205e+23  8.887436e-01  2.962479e-02
0.153226  8.530960e+23  9.012899e-01  3.004300e-02
0.161290  8.594024e+23  9.079526e-01  3.026509e-02
0.169355  8.596586e+23  9.082233e-01  3.027411e-02
0.177419  8.537015e+23  9.019297e-01  3.006432e-02
