# System Parameters and Geometry:
# M_sun_g = 1.98847e+33
# year_s = 31557600.0
# m_H = 1.6735575e-24
# G_cgs = 6.6743e-08
# DAY = 86400.0
# G = 6.6743e-08
# M_ob = 4.374634e+34
# M_ns = 2.783858e+33
# R_ns = 1000000.0
# a_cm = 3613577355655.734
# a = 3613577355655.734
# e = 0.0898
# inclination_deg = 80.0
# R_star = 2100000000000.0
# Rsun = 70000000000.0
# omega_obs = 117.41
# omega_PL = 152.59
# Mdot_wind_msun_per_yr = 2e-06
# Mdot_wind_g_s = 1.2602162395112428e+20
# beta = 0.5
# phase_def = 0.5
# wake_factor_density = 30.0
# wake_extension = 0.3
# streamlines_rg_fac = 10.0
# roch_lobe_limit = 0.7
# zeta_def = 0.5
# along_streamlines = 0
# dynamic_width = 1
# wake_phase_width = 0.2
# streamlines_lim_def = 25000000000000.0
# map_n_pix = 400
# N_points_to_find_intersections_with_orbit = 200
# GEOMETRY = 2
# src = Vela X-1
# mob = 22.0
# Porb_day = 8.964
# wake_width_rg_fac = 10.0
# md_msunyr = 2e-6
# md_val = 2e-06
# Mdot_wind = 1.2602162395112428e+20
# NH_min_plot = 8e+21
# NH_max_plot = 3e+24
# move_zero_phase_to_mid_eclipse = True
# v_p = 52732586.569452114
# Msum = 3.105565005114e+27
# R_star_cm = 2100000000000.0
# R_max_def = 36135773556557.336
# v_inf = 170000000.0
# N_steps_from_observer = 1084
# ------------------------------
# phase  Nh_cm2  Nh_normalized Nh_normalized1
0.000000  3.638510e+22  2.968284e-01  9.894281e-04
0.008065  3.342552e+22  2.726842e-01  9.089475e-04
0.016129  3.091391e+22  2.521946e-01  8.406486e-04
0.024194  2.875445e+22  2.345778e-01  7.819260e-04
0.032258  2.687810e+22  2.192706e-01  7.309019e-04
0.040323  2.523349e+22  2.058539e-01  6.861797e-04
0.048387  2.378144e+22  1.940082e-01  6.466939e-04
0.056452  2.249143e+22  1.834843e-01  6.116143e-04
0.064516  2.133925e+22  1.740848e-01  5.802828e-04
0.072581  2.030542e+22  1.656509e-01  5.521698e-04
0.080645  1.937407e+22  1.580530e-01  5.268433e-04
0.088710  1.853210e+22  1.511842e-01  5.039474e-04
0.096774  1.776861e+22  1.449557e-01  4.831856e-04
0.104839  1.707443e+22  1.392926e-01  4.643088e-04
0.112903  1.644183e+22  1.341318e-01  4.471062e-04
0.120968  1.586418e+22  1.294194e-01  4.313980e-04
0.129032  1.533581e+22  1.251090e-01  4.170300e-04
0.137097  1.485184e+22  1.211608e-01  4.038692e-04
0.145161  1.440801e+22  1.175401e-01  3.918002e-04
0.153226  1.400064e+22  1.142168e-01  3.807225e-04
0.161290  1.362649e+22  1.111645e-01  3.705482e-04
0.169355  1.328273e+22  1.083600e-01  3.612001e-04
0.177419  1.296684e+22  1.057830e-01  3.526102e-04
0.185484  1.267663e+22  1.034155e-01  3.447184e-04
0.193548  1.241014e+22  1.012415e-01  3.374715e-04
0.201613  1.216562e+22  9.924674e-02  3.308225e-04
